ID,Check,Expected Result,Priority
1,"Позитивный сценарий регистрации","Пользователь заполняет все обязательные поля, ставит галочку, нажимает «Продолжить» → появляется сообщение «Регистрация прошла успешно», пользователь может войти в аккаунт",High
2,"Проверка обязательных полей","При попытке нажать «Продолжить» с незаполненным обязательным полем система блокирует отправку и подсвечивает ошибку рядом с полем",High
3,"Валидация email","Некорректные значения (test, test@, test@domain) → ошибка валидации. Корректный email (test@example.com) → принимается",High
4,"Валидация пароля","Пароль короче минимальной длины или без спецсимволов/цифр → ошибка. Кнопка «Показать/скрыть пароль» корректно переключает тип ввода",High
5,"Чекбокс «Согласиться с правилами»","Без галочки кнопка «Продолжить» неактивна (disabled). После установки галочки — становится активной",High
6,"Альтернативные способы входа","Кнопки «Продолжить с Google» и «Продолжить с GitHub» перенаправляют на соответствующие страницы авторизации провайдера",Medium
7,"Локализация (выпадающий список языка)","При смене языка весь интерфейс страницы меняется на выбранный язык. Нет смеси языков или непереведённых строк",Medium
8,"Обработка ошибок и UX","При вводе существующего email система показывает понятную ошибку: «Пользователь с таким email уже существует», а не общую ошибку 500",High
9,"Переход по ссылкам","Ссылки «Уже есть аккаунт?», «Политика конфиденциальности», «Пробная версия» ведут на корректные страницы, не выдают 404",Medium
10,"Технические проверки (Network, Console, DB)","В консоли браузера нет ошибок JS. В Network видно, что запрос на регистрацию уходит с корректными данными и статусом 200/201. В БД действительно создаётся запись пользователя",High 
